id,source_file,source_url,detected_source_language,overall_sentiment,score_positive,score_negative,score_neutral,score_mixed,processing_time_sec,raw_excerpt_len,translated_excerpt_len,s3_uri
1,results_json\06c1948a97a4b35d3cfac6ccb88f94ed74954162_1764806441.json,https://www.abc.net.au/news/2025-01-11/jannik-sinner-doping-hearing-to-be-heard-in-april/104806806,en,Neutral,0.002408472530078143,0.021952561102807522,0.9742506742477417,0.0013882505409128498,1.7780945301055908,2000,2000,
2,results_json\0dba9b3c5c5c198c7a433dedb5a30ac2d6ba8071_1764805192.json,https://www.ttplus.cn/publish/app/data/2024/08/21/528416/os_news.html,zh,Neutral,0.011421388015151024,0.004531226120889187,0.9839704632759094,7.692413055337965e-05,3.076749324798584,2000,2000,
3,results_json\1408d6cff0d0e442710e7fc670e1de66fadd4111_1764805186.json,https://www.jfdaily.com/news/detail?id=951537,zh,Neutral,0.013546474277973175,0.0017545107984915376,0.9843824505805969,0.0003166598326060921,2.021831512451172,11,11,
4,results_json\369f3dc8378e5364460de7572d9fbad81c385847_1764805179.json,http://www.news.cn/sports/20250220/659f0556117f4d41b7524a677733e036/c.html,zh,Neutral,0.10026533645577729,0.10702495998702943,0.7908810377120972,0.0018286601116415113,1.442077875137329,1335,2000,
5,results_json\3ad2f56b6056516b2991062a6673f9a92c90e191_1764805837.json,https://www.tuttosport.com/news/tennis/2024/08/20-131691747/sinner_positivo_all_antidoping_ma_innocente_tutta_la_verita_sul_clostebol,it,Neutral,0.04710091929882765,0.003968887496739626,0.9355156421661377,0.013414546177955344,1.4994032382965088,2000,2000,
6,results_json\5cbdc7e7f00c2b27111e08bd391758e4808d9bf1_1764805188.json,https://www.chinanews.com.cn/ty/2025/02-15/10369407.shtml,zh,Neutral,0.0023708001244813204,0.010121000930666924,0.9875071048736572,1.1943855042773066e-06,2.012298345565796,2000,2000,
7,results_json\65b415bf22856df0c0d15353e3431119ce4d903d_1764805193.json,https://www.epochtimes.com/gb/25/2/15/n14438018.htm,zh,Neutral,0.0036193907726556063,0.0157836708240211,0.9797801375389099,0.0008167968335328624,0.9458563327789307,1413,2000,
8,results_json\6ce34b2a06eb08f1f995aaa1015afba378cf3290_1764805835.json,https://www.startmag.it/sanita/cose-la-sostanza-dopante-alla-quale-e-risultato-positivo-sinner/,it,Neutral,0.0008565160678699613,0.014707682654261589,0.98372483253479,0.0007109766011126339,0.9119949340820312,171,147,
9,results_json\77768e8501c551125ecb0f89eeeef10e809306e9_1764805822.json,https://www.corrieredellosport.it/news/tennis/sinner/2025/02/15-138430669/sinner_e_la_vicenda_doping_tutte_le_tappe_di_una_vicenda_infinita,it,Neutral,0.02729798504151404,0.04200729634612799,0.7154626250267029,0.21523209591396153,1.1848599910736084,2000,2000,
10,results_json\8136a641e3935d5c0e1274a3f511f65f1fa17bfe_1764806442.json,https://www.npr.org/2025/02/15/nx-s1-5298666/tennis-top-ranked-jannik-sinner-gets-a-3-month-ban-in-doping-case-settlement,en,Neutral,0.004678352590417489,0.22673090966418386,0.6680581271648407,0.10053269512172847,1.195793867111206,2000,2000,
